"section_title","icon_class","link_text","link_url","guid"
"Flexible Study Format","fa-brain-circuit","<strong>Closed-captioned</strong> presentations and video presentation transcripts are available for enhanced comprehension and accessibility.",,
,,"Print or download key video presentation slides, study guides, and questions to <strong>create flashcards for study enhancement. </strong>",,
"Customizable Learning","fa-gear-complex","Create <strong>custom quizzes</strong> to simulate the Board exam.",,
,,"<strong>Bookmark</strong>  important video presentation content for quick reference. ",,
"Access Anywhere","fa-mobile-alt","<strong>Study anytime and anywhere</strong> through the web or mobile app. ",,
