icon_class,description,link_text,link_url
fa-users,Patient-centered,,
fa-refresh,Teamwork &amp; Collaboration, ,
fa-certificate,Professionalism,,
fa-check,Excellence,,
fa-scale-balanced,Equity,,
fa-ellipsis,Read about,Our Strategic Direction,./About-ACC/Our-Strategic-Direction
