icon_class,description,link_text,url,guid,
fa-people-group,,Member Section,"https://www.acc.org/Membership/Sections-and-Councils",{86061ADD-5759-4D6F-A4C2-C71A5F38E312},
fa-flag-usa,,State Chapters,https://www.acc.org/Membership/Chapters,{B392D991-EF65-4F74-B1C3-6DE315E1AFA2},
fa-people-roof,,Diversity and Inclusion,https://www.acc.org/About-ACC/Diversity-and-Inclusion,{E6E286A8-45A1-489E-95C0-79AA228ED01F},
fa-flask-gear,,User Experience,https://www.acc.org/About-ACC/UX,{87B188F0-4133-49E9-898A-70D9C6665100},
