icon_class,description,link_text,url,guid,
fa-users,Patient-centered,,,,
fa-users-medical,Teamwork &amp; Collaboration,,,,
fa-briefcase-medical,Professionalism,,,,
fa-check,Excellence,,,,
fa-scale-balanced,Equity,,,,
fa-ellipsis,Read about,Our Strategic Direction,./About-ACC/Our-Strategic-Direction,{4D0477AD-A5BE-455B-863B-638A5C056B29},
