type,label,url,guid,custom_classes
secondary,Support the ACC,https://www.acc.org/About-ACC/Support-the-ACC,{4D0477AD-A5BE-455B-863B-638A5C056B29},
secondary,Campaign for the Future,https://www.acc.org/About-ACC/Campaign-Future,{4D0477AD-A5BE-455B-863B-638A5C056B29},
secondary,Advocacy,https://www.acc.org/Tools-and-Practice-Support/Advocacy-at-the-ACC,{4D0477AD-A5BE-455B-863B-638A5C056B29},
