"section_title","icon_class","link_text","link_url","guid"
"Customizable Learning","fa-gear-complex","Create <strong>custom quizzes</strong> to simulate Board",,
,,"<strong>Bookmark</strong> important video presentation content for quick reference. ",,
"Flexible Study Format","fa-brain-circuit","<strong>Closed-captioned</strong> video presentations and transcripts are available for enhanced comprehension and accessibility.",,
,,"Print or download key video presentation slides, study guides, and questions to <strong>enhance your study sessions.</strong>",,
"Access Anywhere","fa-mobile-alt","<strong>Study anytime and anywhere</strong> through the web or <a href='~/link.aspx?_id=963F21969EF14856AC6FB65B154AE790&amp;_z=z' target=""_blank"">mobile app</a>. ",,
"Always Up to Date","fa-refresh","Get <strong>yearly content updates</strong> based on the  latest research and guidelines.",,
