icon_class,description,link_text,link_url
fa-newspaper,Access to all <em>JACC</em> Journals,http://www.onlinejacc.org/
fa-calendar,Discounts on education, including the Annual Scientific Session,https://accscientificsession.acc.org/
fa-certificate,Opportunities to earn free continuing education credits,
fa-users,Connect with members in 24+ Member Sections,/Membership/Sections-and-Councils
fa-ellipsis,Read about more of our Member Benefits,Membership,/Membership/Join-Us/Benefits
