title,start_date,end_date,city,country,presenter,flags,description,learn_more_url,action_url
ACC Distinguished Awards,07-01,09-17,,,,International,"ACC Distinguished Awards honor those who have made an indelible impact on the field of cardiology, recognizing clinicians, scientists and CV team members.","https://www.acc.org/Membership/Join-Us/Benefits/Award-Programs/The-American-College-of-Cardiology-Distinguished-Awards",https://www.acc.org/Membership/Join-Us/Benefits/Award-Programs/The-American-College-of-Cardiology-Distinguished-Awards
ACC Benevolence Fund,01-01,12-31,,,,FIT,"The ACC Benevolence Fund offers up to $1,500 to trainees facing unexpected financial hardship, with applications reviewed monthly.","https://www.acc.org/Membership/Join-Us/Benefits/Award-Programs/ACC-Benevolence-Fund",https://www.acc.org/Membership/Join-Us/Benefits/Award-Programs/ACC-Benevolence-Fund
Cleveland Clinic Global Scholars Award in India,04-01,06-30,,,,International,This global scholars award supports early career clinicians in India with a research and clinical observership opportunity in the U.S.,"https://www.acc.org/Membership/Join-Us/Benefits/Award-Programs/Cleveland-Clinic-Global-Scholar-Award",https://www.acc.org/Membership/Join-Us/Benefits/Award-Programs/Cleveland-Clinic-Global-Scholar-Award
Global Digital Health Award,08-01,09-15,,,,International,Honoring global companies advancing care delivery with transformative digital health solutions.,"https://www.acc.org/Membership/Join-Us/Benefits/Award-Programs/Global-Digital-Health-Award",https://www.acc.org/Membership/Join-Us/Benefits/Award-Programs/Global-Digital-Health-Award
Hani Najm Global Scholar Award,04-01,06-30,,,,"International, Early Career","This observership program provides early career cardiologists in the Middle East and Africa the opportunity to shadow practicing clinicians at a U.S.-based hospital.","https://www.acc.org/Membership/Join-Us/Benefits/Award-Programs/Hani-Najm-Global-Scholar-Award",https://www.acc.org/Membership/Join-Us/Benefits/Award-Programs/Hani-Najm-Global-Scholar-Award
Thad and Gerry Waites Rural Cardiovascular Research Fellowship,08-01,10-31,,,,Early Career,This fellowship provides funding and opportunity for clinicians committed to reducing cardiovascular disparities in rural and underserved populations through research and community engagement.,"https://www.acc.org/Membership/Join-Us/Benefits/Award-Programs/Waites-Rural-Cardiovascular-Research-Fellowship",https://www.acc.org/Membership/Join-Us/Benefits/Award-Programs/Waites-Rural-Cardiovascular-Research-Fellowship
Young Investigator Awards,07-01,08-14,,,,Early Career,The Young Investigator Awards competition provides a platform for early career investigators to showcase cutting-edge research at ACC Annual Scientific Session.,"https://www.acc.org/Membership/Join-Us/Benefits/Award-Programs/Young-Investigator-Awards",https://www.acc.org/Membership/Join-Us/Benefits/Award-Programs/Young-Investigator-Awards
Douglas P. Zipes Distinguished Young Scientist Award,04-06,06-04,,,,Early Career,This award honors young physician-scientists who have contributed to science and are actively advancing research in basic or clinical cardiovascular fields.,"https://www.acc.org/Membership/Join-Us/Benefits/Award-Programs/Douglas-P-Zipes-Distinguished-Young-Scientist-Award",https://www.acc.org/Membership/Join-Us/Benefits/Award-Programs/Douglas-P-Zipes-Distinguished-Young-Scientist-Award
William A. Zoghbi Global Research Initiative,04-01,06-30,,,,International,This research award initiative provides a springboard for innovative new science that can improve cardiovascular care and outcomes in communities worldwide.,"https://www.acc.org/Membership/Join-Us/Benefits/Award-Programs/William-A-Zoghbi-International-Research-Award",https://www.acc.org/Membership/Join-Us/Benefits/Award-Programs/William-A-Zoghbi-International-Research-Award
