name,hex,font_color,AA,AAA,contrast
3:Harm,#af1c08,c_white,,,7.01
3:No-Harm,#f38984,c_black,,,7.07
2b,#faa74b,c_black,,,10.69
2a,#ffda68,c_black,,,15.48
1,#79c78d,c_black,,,10.36
