name,hex,font_color,AA,AAA,contrast
1,#45a547,c_black,,,6.72
2a,#f0da10,c_black,,,14.74
2b,#f99b1c,c_black,,,9.73
3:No-Benefit,#f37321,c_black,,,7.28
3:Harm,#ef3824,c_black,,,5.26
