"title","label","url","img"
"Honoring Excellence: Recognizing AHA","Feature"," /Latest-in-Cardiology/Articles/2024/03/01/01/42/Feature-Honoring-Excellence-Recognizing-AHA-ABC-Achievements-in-Improving-Heart-Health","-/media/Non-Clinical/Images/2024/03/CARDIOLOGY/27/Celebration-1200x800.jpg"
"ACC.24: Inspiring Learning; Invigorating Conversation; Daring to Innovate","Cover Story","/Latest-in-Cardiology/Articles/2024/03/01/01/42/Cover-Story-ACC24-Inspiring-Learning-Invigorating-Conversation-Daring-to-Innovate","-/media/Non-Clinical/Images/2024/03/CARDIOLOGY/29/Cover-Story-1-1200x800.jpg"
"ACC.24: Inspiring Learning; Invigorating Conversation; Daring to Innovate","Cover Story","/Latest-in-Cardiology/Articles/2024/03/01/01/42/Cover-Story-ACC24-Inspiring-Learning-Invigorating-Conversation-Daring-to-Innovate","-/media/Non-Clinical/Images/2024/03/CARDIOLOGY/29/Cover-Story-1-1200x800.jpg"
